20,10,100,15
14,6,160,3
20,10,260,11
3.5,4.8,36,2.3
25,8,150,20
17,10,170,1
20,9.8,120,14
10,7,52,5.5
15.5,8.6,130,2
16,15,160,4
21,8,200,15.5
23,15,250,3
9,16.5,280,11
5.5,4.5,20,2.5
18,14,115,4
22,5,94,6
18,12,90,13
11,11,100,9
20,8,70,15
8,9.5,20,11
12,9.5,100,2
9,14,110,8
10,9,95,4
16,10,150,3
17,6,100,6
12,9,60,6
8,8,125,4
7,11,90,12
3,7,20,3
26,25,400,0
28,10,85,20
10,6,40,5
24,11,20,24
11,13,60,10
12,8,50,0
23,20,240,0
14,13,150,0
4,8,14,6
5,4,22,0
6,6,15,3
